time,open,high,low,close,lux_bull_prep_count,lux_bear_prep_count,lux_bull_prep_complete,lux_bear_prep_complete,lux_bull_leadup_count,lux_bear_leadup_count,lux_bull_leadup_complete,lux_bear_leadup_complete,lux_bull_leadup_delete,lux_bear_leadup_delete
1638556200,381.29,381.41,379.17,380.76,6,0,0,0,,10,0,0,0,0
1638559800,380.8,381.2,378.92,380.58,7,0,0,0,,10,0,0,0,0
1638563400,380.59,383.86,379.54,383.2,0,1,0,0,,11,0,0,0,0
1638801000,383.63,384.88,379.3,384.4,0,2,0,0,,12,0,0,0,0
1638804600,384.5,384.84,381.77,382.94,0,3,0,0,,12,0,0,0,0
1638808200,383,384.99,382.56,384.76,0,4,0,0,,12,0,0,0,0
1638811800,384.77,387.09,384.45,386.88,0,5,0,0,,13,0,1,0,0
1638815400,387,387.59,386.53,387.23,0,6,0,0,,14,0,0,0,0
1638819000,387.31,387.58,385.86,386.54,0,7,0,0,,14,0,0,0,0
1638822600,386.57,387.05,385.83,386.32,0,8,0,0,,14,0,0,0,0
1638887400,393.12,396.61,393.08,395.73,0,9,0,1,,1,0,0,1,1
1638891000,395.83,397.47,395.78,396.82,0,10,0,0,,2,0,0,0,0
1638894600,396.89,397.86,396.73,397.59,0,11,0,0,,3,0,0,0,0
1638898200,397.63,398.26,397.31,397.8,0,12,0,0,,4,0,0,0,0
1638901800,397.86,398.44,397.535,397.89,0,13,0,0,,5,0,0,0,0
1638905400,397.86,397.87,396.55,396.55,1,0,0,0,,5,0,0,0,0
1638909000,396.55,398.01,395.99,397.95,0,1,0,0,,5,0,0,0,0
1638973800,398.17,398.75,396.22,396.96,1,0,0,0,,5,0,0,0,0
1638977400,396.99,397.89,396.3,397.855,2,0,0,0,,5,0,0,0,0
1638981000,397.86,398.37,397.2,397.51,0,1,0,0,,5,0,0,0,0
1638984600,397.57,398.58,397.36,398.51,0,2,0,0,,6,0,0,0,0
1638988200,398.47,399.345,397.91,398.68,0,3,0,0,,7,0,0,0,0
1638991800,398.78,399.17,398.24,399.1,0,4,0,0,,8,0,0,0,0
1638995400,399.08,399.81,398.56,399.62,0,5,0,0,,9,0,0,0,0
1639060200,398.35,400.19,396.69,396.72,1,0,0,0,,9,0,0,0,0
1639063800,396.65,398.36,396.32,398.19,2,0,0,0,,9,0,0,0,0
1639067400,398.27,398.47,396.62,396.96,3,0,0,0,,9,0,0,0,0
1639071000,396.86,397.65,396.54,396.62,4,0,0,0,,9,0,0,0,0
1639074600,396.6,397.15,395.18,395.92,5,0,0,0,,9,0,0,0,0
1639078200,395.88,396.08,393.69,394.24,6,0,0,0,,9,0,0,0,0
1639081800,394.24,395.39,393.53,393.74,7,0,0,0,,9,0,0,0,0
1639146600,396.62,398.06,395.01,397.24,0,1,0,0,,10,0,0,0,0
1639150200,397.31,397.37,393.37,395.24,1,0,0,0,,10,0,0,0,0
1639153800,395.24,396.52,394.32,396,0,1,0,0,,10,0,0,0,0
1639157400,396.02,396.92,395.14,396.71,0,2,0,0,,10,0,0,0,0
1639161000,396.71,396.78,395.98,396.51,1,0,0,0,,10,0,0,0,0
1639164600,396.54,396.905,395.57,396.72,0,1,0,0,,10,0,0,0,0
1639168200,396.73,398.28,396.72,398.04,0,2,0,0,,11,0,0,0,0
1639405800,398,398.32,394.88,395.34,1,0,0,0,,11,0,0,0,0
1639409400,395.29,395.82,393.61,393.92,2,0,0,0,,11,0,0,0,0
1639413000,394,394.36,392.82,394.31,3,0,0,0,,11,0,0,0,0
1639416600,394.28,394.715,393.57,393.68,4,0,0,0,,11,0,0,0,0
1639420200,393.73,394.59,393.02,394.32,5,0,0,0,,11,0,0,0,0
1639423800,394.33,395.18,393.82,393.82,6,0,0,0,,11,0,0,0,0
1639427400,393.8,394.79,391.88,392.28,7,0,0,0,,11,0,0,0,0
1639492200,387.31,390.09,386.56,388.21,8,0,0,0,,11,0,0,0,0
1639495800,388.17,388.6,384.51,385.63,9,0,1,0,1,,0,0,1,1
1639499400,385.65,385.84,383.9,384.53,10,0,0,0,2,,0,0,0,0
1639503000,384.53,385.37,383.79,385.05,11,0,0,0,2,,0,0,0,0
1639506600,385.02,386.39,384.12,386.02,12,0,0,0,2,,0,0,0,0
1639510200,386.04,388.76,385.91,388.68,0,1,0,0,2,,0,0,0,0
1639513800,388.66,389.38,387.22,388.34,0,2,0,0,2,,0,0,0,0
1639578600,387.94,388.42,385.53,386.7,0,3,0,0,2,,0,0,0,0
1639582200,386.71,387.98,385.4,385.65,1,0,0,0,3,,0,0,0,0
1639585800,385.61,385.64,383.88,385.17,2,0,0,0,4,,0,0,0,0
1639589400,385.17,385.65,384.59,385.37,3,0,0,0,5,,0,0,0,0
1639593000,385.4,390.34,384.16,388.06,0,1,0,0,5,,0,0,0,0
1639596600,388.12,395.94,387.47,395.16,0,2,0,0,5,,0,0,0,0
1639600200,395.25,397.4,394.37,397.03,0,3,0,0,5,,0,0,0,0
1639665000,398.04,398.41,392.39,394.41,0,4,0,0,5,,0,0,0,0
1639668600,394.38,394.91,390.36,391.63,0,5,0,0,6,,0,0,0,0
1639672200,391.63,391.7,388.63,388.89,1,0,0,0,7,,0,0,0,0
1639675800,388.88,389.56,387.8,389.25,2,0,0,0,8,,0,0,0,0
1639679400,389.24,389.72,386.05,386.61,3,0,0,0,9,,0,0,0,0
1639683000,386.68,387.84,385.23,387.39,4,0,0,0,10,,0,0,0,0
1639686600,387.38,388.77,386.36,386.87,5,0,0,0,10,,0,0,0,0
1639751400,383.33,386.39,381.8,383.83,6,0,0,0,11,,0,0,0,0
1639755000,383.79,389.18,383.31,388.25,0,1,0,0,11,,0,0,0,0
1639758600,388.27,388.55,384,385.64,1,0,0,0,11,,0,0,0,0
1639762200,385.565,387.42,384.9,387.27,0,1,0,0,11,,0,0,0,0
1639765800,387.32,388.13,386.14,386.64,0,2,0,0,11,,0,0,0,0
